순위,최종점수,번호,제품명,분류,밀도_EPADHA_mg,순도_pct,비율표기,형태,어종,항산화제,포장,제형,인증,COA,원료사,성분35,산패30,원료형태20,투명성15,합계,안전상한,정보검증,적합성,출처비고
1,100,5,묘견서 오메가3,펫·캡슐,320,80,명시,rTG,소형어,있음,우수,캡슐,있음,공개,명시,35,30,20,15,100,,공개·검증,관절·신장(EPA우세),1캡슐 EPA192+DHA128=320mg(정제어유400mg·순도80%)·rTG·멸치/정어리/고등어·d-토코페롤·PVDC개별포장·IFOS5★완제품+RTCP(TOTOX13.07·산가0.20·중금속통과)·KD파마480320TG (상세페이지 실측)
2,95,1,닥터레이 오메가3,펫·캡슐,200,80,명시,rTG,소형어,있음,우수,캡슐,있음,공개,명시,30,30,20,15,95,,공개·검증,관절·신장(EPA우세),1캡슐 EPA120+DHA80=200mg·순도80%·rTG·멸치/정어리·d-토코페롤·PVDC블리스터·IFOS5★완제품(TOTOX10.32·산가0.17·중금속통과)·KD파마/로빈슨파마 (상세페이지 실측)
3,92,12,씽크라이크펫 오메가3,펫·캡슐,200,80,일부,rTG,소형어,있음,우수,캡슐,있음,공개,명시,27,30,20,15,92,,공개·검증,일반유지,씽크라이크펫 바이탈케어 알티지 오메가3 250mg 60캡슐·1캡슐 내용물 250mg 중 EPA+DHA 200mg·순도80%·KD-PUR 480320 rTG(KD Pharma 독일·#11과 동일 원료=소형어 멸치)·비타민E(항산화)·PVDC PTP 개별포장(우수)·IFOS5★·산가/과산화물가/아니시딘가/TOTOX/중금속 실측 공개(COA공개)·약1.3cm 소형캡슐·실제중량 15g (lifet P01106 자동수집+비전 20260620)
4,90,3,조공 레드 오메가3 미니,펫·캡슐,110,80,명시,rTG,소형어,있음,우수,캡슐,있음,공개,명시,25,30,20,15,90,,공개·검증,일반유지·피부(아스타잔틴),1캡슐 EPA66+DHA44=110mg(rTG오일137.6mg·순도80%)·멸치류 소형어·아스타잔틴5mg+d-토코페롤·블리스터개별포장·원료+완제품IFOS5★(TOTOX16.49·산가0.27·중금속통과)·Solutex/Viva제조·고양이1알 (상세페이지 실측)
5,87,15,펫생각 데일리케얼 오메가3 미니,펫,128,80,일부,rTG,소형어,있음,우수,캡슐,있음,공개,명시,22,30,20,15,87,,공개·검증,일반유지,데일리케얼 슈퍼리얼 알티지(180캡슐 SKU 기준)·1캡슐 EPA+DHA 128mg·순도80%이상·Real rTG·정제어유 소형어·d-토코페롤(비타민E)·PTP개별포장 산패4중방어·KD파마(독일) 원료+완제품 IFOS5★·TOTOX/중금속 검사공개·연질캡슐 (fitpetmall goods/1000033651 자동수집+OCR 20260620)
6,85,4,조공 데일리 퓨어 오메가-3 미니,펫·캡슐,110,75,명시,rTG,소형어,있음,보통,캡슐,있음,공개,명시,25,25,20,15,85,,공개·검증,일반유지(EPA 2:1),1캡슐 EPA73.3+DHA36.7=110mg(rTG오일146.67mg·순도75%)·멸치류 소형어·d-토코페롤5.4mg·90캡슐 병포장·원료+완제품IFOS5★(TOTOX16.48·산가0.11·중금속통과)·Solutex Omegatex·고양이1알 (상세페이지 실측)
6,85,11,룰루파마 오메가3,펫·캡슐,80,80,명시,rTG,소형어,있음,우수,캡슐,있음,공개,명시,20,30,20,15,85,,공개·검증,일반유지,룰루키친 룰루파마 오메가3 100mg(3oval) SKU·1캡슐 내용물 100mg 중 EPA48+DHA32=80mg·순도80%·KD-PUR 480320 rTG(원료 EPA480/DHA320 mg/g)·소형 어종·d-토코페롤·PVDC 개별포장·IFOS5★+HACCP/ISO·Peroxide 1.63 실측(DeKrA COA공개)·코스맥스펫 국내제조(KD Pharma 원료)·250mg(6oval)형은 EPA120+DHA80=200mg (wooof 24245 자동수집+비전 20260620)
8,81,25,venefit omega3 plus,병원·클리닉,119,79,일부,rTG,소형어,있음,우수,소프트젤,있음,미상,명시,22,30,20,9,81,,라벨만,일반유지,베네핏 오메가3플러스(수의사처방전용)·2캡슐(150mg×2)당 DHA+EPA 238mg→1캡슐 119mg·순도 238/300=79%(고순도)·독일 KD Pharma rTG·kd-pür 저온초임계(산패 최소화)·소형 어종(중금속 최소화)·IFOS 5 Star 원료·비타민E 1.4mg α-TE·블리스터 개별포장·연질캡슐·480정·실측 COA 수치는 미표기 (제조 ET022402 상세이미지 비전 20260620)
9,80,6,노르딕내추럴스 펫,펫·캡슐,255,26,명시,TG,소형어,있음,보통,소프트젤,있음,일부,명시,23,25,20,12,80,,공개·검증,미정,1소프트젤 EPA155+DHA100=255mg·멸치/정어리/고등어/청어·TG·토코페롤·배치별 시험공개·IFOS 완제품 인증(certifications.nutrasource.ca NRDN0097
9,80,26,스포츠리서치 트리플 스트렝스,사람용,937,75,명시,TG,소형어,미상,취약,소프트젤,있음,공개,명시,35,10,20,15,80,,공개·검증,미정,EPA+DHA 937/캡슐(라벨 EPA687+DHA250)·IFOS 5★ 완제품 lot UC180494 실측 EPA704+DHA271·TOTOX/과산화물/아니시딘/중금속(수은·납)/PCB/다이옥신 전부 합격(COA 공개)·AlaskaOmega·순도~75%·병포장 (IFOS certifications.nutrasource.ca)
